vehicle,seq,node_idx
1,0,0
1,1,67
1,2,63
1,3,62
1,4,74
1,5,72
1,6,61
1,7,64
1,8,66
1,9,69
1,10,0
2,0,0
2,1,5
2,2,2
2,3,7
2,4,4
2,5,91
2,6,88
2,7,84
2,8,83
2,9,82
2,10,77
2,11,87
2,12,0
3,0,0
3,1,90
3,2,86
3,3,85
3,4,76
3,5,71
3,6,70
3,7,73
3,8,80
3,9,79
3,10,81
3,11,78
3,12,96
3,13,0
4,0,0
4,1,75
4,2,1
4,3,99
4,4,100
4,5,97
4,6,92
4,7,94
4,8,95
4,9,98
4,10,3
4,11,89
4,12,0
6,0,0
6,1,55
6,2,56
6,3,58
6,4,60
6,5,59
6,6,40
6,7,46
6,8,45
6,9,42
6,10,41
6,11,43
6,12,48
6,13,0
7,0,0
7,1,93
7,2,22
7,3,21
7,4,0
8,0,0
8,1,18
8,2,19
8,3,16
8,4,14
8,5,12
8,6,15
8,7,17
8,8,13
8,9,9
8,10,0
9,0,0
9,1,6
9,2,32
9,3,33
9,4,31
9,5,35
9,6,37
9,7,38
9,8,39
9,9,29
9,10,0
11,0,0
11,1,20
11,2,24
11,3,27
11,4,30
11,5,34
11,6,36
11,7,28
11,8,26
11,9,23
11,10,25
11,11,11
11,12,10
11,13,8
11,14,0
12,0,0
12,1,68
12,2,65
12,3,49
12,4,53
12,5,54
12,6,57
12,7,44
12,8,51
12,9,50
12,10,52
12,11,47
12,12,0
