vehicle,seq,node_idx
1,0,0
1,1,81
1,2,78
1,3,76
1,4,71
1,5,70
1,6,73
1,7,77
1,8,79
1,9,80
1,10,0
2,0,0
2,1,57
2,2,55
2,3,54
2,4,53
2,5,56
2,6,58
2,7,60
2,8,59
2,9,0
3,0,0
3,1,98
3,2,96
3,3,95
3,4,94
3,5,92
3,6,93
3,7,97
3,8,100
3,9,99
3,10,0
4,0,0
4,1,32
4,2,33
4,3,31
4,4,35
4,5,37
4,6,38
4,7,39
4,8,36
4,9,34
4,10,0
5,0,0
5,1,5
5,2,3
5,3,7
5,4,8
5,5,10
5,6,11
5,7,9
5,8,6
5,9,4
5,10,2
5,11,1
5,12,75
5,13,0
6,0,0
6,1,90
6,2,87
6,3,86
6,4,83
6,5,82
6,6,84
6,7,85
6,8,88
6,9,89
6,10,91
6,11,0
7,0,0
7,1,43
7,2,42
7,3,41
7,4,40
7,5,44
7,6,46
7,7,45
7,8,48
7,9,51
7,10,50
7,11,52
7,12,49
7,13,47
7,14,0
8,0,0
8,1,67
8,2,65
8,3,63
8,4,62
8,5,74
8,6,72
8,7,61
8,8,64
8,9,68
8,10,66
8,11,69
8,12,0
9,0,0
9,1,13
9,2,17
9,3,18
9,4,19
9,5,15
9,6,16
9,7,14
9,8,12
9,9,0
10,0,0
10,1,20
10,2,24
10,3,25
10,4,27
10,5,29
10,6,30
10,7,28
10,8,26
10,9,23
10,10,22
10,11,21
10,12,0
