vehicle,seq,node_idx
1,0,0
1,1,81
1,2,78
1,3,76
1,4,71
1,5,70
1,6,73
1,7,77
1,8,79
1,9,80
1,10,0
2,0,0
2,1,57
2,2,55
2,3,54
2,4,53
2,5,56
2,6,58
2,7,60
2,8,59
2,9,0
3,0,0
3,1,98
3,2,96
3,3,95
3,4,94
3,5,92
3,6,93
3,7,97
3,8,100
3,9,99
3,10,0
4,0,0
4,1,32
4,2,33
4,3,31
4,4,35
4,5,37
4,6,38
4,7,39
4,8,36
4,9,34
4,10,0
5,0,0
5,1,13
5,2,17
5,3,18
5,4,19
5,5,15
5,6,16
5,7,14
5,8,12
5,9,0
6,0,0
6,1,90
6,2,87
6,3,86
6,4,83
6,5,82
6,6,84
6,7,85
6,8,88
6,9,89
6,10,91
6,11,0
8,0,0
8,1,67
8,2,65
8,3,63
8,4,62
8,5,74
8,6,72
8,7,61
8,8,64
8,9,68
8,10,66
8,11,69
8,12,0
9,0,0
9,1,20
9,2,24
9,3,25
9,4,27
9,5,29
9,6,30
9,7,28
9,8,26
9,9,23
9,10,22
9,11,21
9,12,0
10,0,0
10,1,43
10,2,42
10,3,41
10,4,40
10,5,44
10,6,46
10,7,45
10,8,48
10,9,51
10,10,50
10,11,52
10,12,49
10,13,47
10,14,0
11,0,0
11,1,5
11,2,3
11,3,7
11,4,8
11,5,10
11,6,11
11,7,9
11,8,6
11,9,4
11,10,2
11,11,1
11,12,75
11,13,0
